lat,lng
0.671259731,0.534762236
0.669623742,0.365561675
0.115790197,0.087974164
0.844359996,0.244237764
0.475678351,0.078685298
0.918481753,0.010101268
0.632760263,0.491029263
0.295027118,0.03113027
0.369000747,0.31468283
0.460278218,0.209676354
0.247200015,0.532619083
0.909695023,0.622863166
0.220940313,0.20969375
0.963964116,0.59296215
0.838076809,0.563280888
0.645322442,0.724014049
0.174552995,0.022976465
0.665726956,0.89712692
0.758511691,0.994726229
0.92740666,0.025315509
0.016689698,0.869513081
0.787119396,0.89158047
0.355482559,0.952535543
0.712909399,0.574262117
0.560006406,0.817034418
0.058400024,0.565615115
0.668629424,0.795939478
0.093580175,0.630845006
0.881542166,0.534607224
0.964682435,0.981906881
0.058889763,0.160620152
0.48077485,0.103199205
0.129319303,0.917826394
0.152651687,0.484736327
0.426168094,0.236858986
0.60283198,0.667939767
0.906429352,0.721646391
0.221617531,0.038602734
0.500096527,0.470527431
0.654304675,0.833975968
0.554084319,0.095683984
0.330750392,0.513859746
0.3444319,0.714762372
0.2825345,0.617894019
0.456130107,0.851361864
0.991058902,0.31352027
0.459507304,0.955784975
0.873546076,0.57182358
0.512249397,0.730517321
0.065974784,0.073691461
0.251303702,0.673110045
0.72428801,0.603958277
0.436583792,0.220943035
0.29305799,0.395770592
0.102398099,0.645635156
0.904192811,0.335500288
0.541190508,0.140908688
0.05033727,0.470058128
0.32844831,0.615017847
0.375437446,0.66547473
0.05105859,0.966071585
0.14054102,0.705818081
0.470286424,0.629821926
0.441453717,0.88607659
0.086496302,0.125190944
0.227623345,0.618360931
0.879929898,0.183487399
0.356276649,0.752586041
0.078462783,0.166392183
0.096790928,0.977565554
0.316022044,0.490932787
0.081625631,0.536483026
0.506241647,0.029111582
0.811459689,0.618904564
0.57200637,0.594426931
0.471462677,0.91829448
0.815852479,0.889707736
0.315831793,0.753302732
0.145392627,0.790037697
0.150650952,0.826542524
0.40676546,0.103486062
0.001651324,0.447269363
0.80877857,0.081020825
0.746641218,0.731511483
0.489305761,0.105370599
0.415649461,0.782825182
0.06402014,0.123884333
0.23670746,0.129458694
0.760860672,0.432612441
0.690931459,0.958370345
0.981406169,0.912284654
0.856423769,0.058302614
0.417324114,0.320543428
0.007020955,0.692795606
0.936181813,0.003504702
0.542801879,0.39150806
0.520707834,0.016920283
0.960269227,0.336613781
0.037320283,0.230375569
0.441099673,0.327073533
0.188949427,0.514740011
0.651578738,0.688775709
0.195992662,0.384725511
0.169909677,0.370159213
0.04023669,0.892259048
0.633029942,0.518334338
0.117335212,0.794498732
0.141381051,0.568205813
0.733096875,0.657535365
0.167858676,0.025705207
0.223329747,0.564104021
0.559398654,0.942803952
0.006664469,0.84990361
0.577752842,0.788014913
0.593518441,0.612613649
0.412230409,0.211810706
0.736808141,0.251880099
0.361544853,0.506901592
0.338920591,0.01817785
0.872615064,0.455166801
0.383682465,0.49779116
0.015595252,0.531811908
0.07115243,0.492359653
0.511782677,0.942172917
0.257376566,0.440987773
0.285917343,0.588929513
0.601325257,0.709374306
0.647517915,0.980934004
0.708493315,0.081270812
0.462053569,0.10580544
0.356024547,0.732734434
0.616582577,0.483217163
0.173641532,0.856513386
0.070816092,0.075733687
0.01541567,0.465400301
0.880850906,0.617295608
0.147415751,0.578870299
0.361984326,0.248535009
0.953613568,0.536071953
0.190070683,0.330881464
0.91758867,0.683208618
0.020534205,0.238059551
0.018290182,0.703976091
0.270042752,0.051628058
0.332174674,0.461711104
0.038210218,0.045726896
0.709679007,0.438428043
0.987884526,0.30873046
0.153037783,0.319951682
0.670494327,0.12030941
0.179527285,0.96059715
0.235485824,0.036447557
0.173205273,0.072734418
0.536436678,0.370305301
0.14702615,0.359524884
0.378436323,0.858718077
0.427788032,0.120262947
0.278910216,0.410236772
0.503564143,0.45819678
0.228563064,0.760484803
0.683420964,0.620129553
0.77137733,0.173454169
0.099071634,0.638723627
0.999971312,0.062556783
0.409737406,0.573517455
0.098872422,0.499794006
0.614052838,0.986321946
0.392433904,0.409326573
0.509098593,0.287492592
0.947042562,0.755562217
0.392616376,0.129720992
0.984151358,0.205218507
0.130006076,0.408060053
0.408269945,0.308058739
0.669512836,0.958914545
0.156441797,0.055640395
0.084072996,0.021997101
0.595988671,0.649172565
0.17849653,0.39924005
0.109548488,0.426071016
0.433714556,0.218976468
0.950707366,0.845340327
0.062958586,0.681472347
0.079472194,0.758436275
0.510239528,0.470222688
0.2561387,0.212471307
0.970199504,0.631778333
0.631075269,0.704042133
0.91530896,0.564408078
0.309775669,0.034822433
0.166892239,0.748413617
0.918566471,0.674555782
0.797764314,0.933876671
0.138515745,0.904863247
0.858382005,0.548269312
0.956658654,0.82189281
0.344948482,0.624343121
0.495965986,0.571710003
0.54204624,0.878321014
0.639841715,0.461865767
0.928577251,0.151180899
0.968823735,0.974875905
0.487773352,0.388016729
0.112368093,0.907612788
0.351780196,0.506332626
0.993952137,0.411595269
0.748419924,0.825599817
0.706059675,0.141910181
0.207872361,0.787229889
0.785041708,0.691321491
0.391948426,0.561388488
0.82789134,0.25871891
0.667345744,0.789472277
0.96505566,0.14742581
0.435238679,0.610525219
0.764597274,0.663971882
0.348618495,0.658483767
0.158255636,0.875683763
0.589101852,0.773146159
0.003758351,0.951193285
0.384902888,0.042501297
0.061488469,0.520871571
0.405158513,0.427238741
0.649204678,0.416122237
0.888536585,0.512517335
0.852064837,0.197242967
0.707986761,0.144465746
0.260460546,0.751887978
0.644309627,0.715322694
0.292955195,0.162427318
0.280217839,0.002156002
0.237763064,0.788584889
0.626646486,0.312699827
0.702070153,0.560318687
0.628543503,0.192926651
0.782234861,0.862198314
0.985456936,0.097965943
0.968577579,0.331612201
0.716497869,0.747095648
0.209525581,0.782998771
0.262423837,0.98880643
0.679104162,0.041711921
0.572165874,0.919329385
0.112262068,0.011544627
0.393144927,0.946302178
0.011438395,0.715884145
0.709177536,0.24193058
0.263047588,0.079509825
0.788223654,0.70291652
0.883617171,0.29511759
0.347998183,0.1447629
0.959615249,0.225412615
0.228730023,0.47532683
0.882385032,0.113789163
0.816065492,0.809693847
0.16313078,0.524450889
0.395476113,0.152317162
0.314028094,0.049697308
0.660220849,0.55683353
0.556847589,0.318389242
0.465270865,0.924742798
0.671566175,0.166506612
0.398537007,0.738387518
0.628244388,0.194895202
0.851385306,0.729489418
0.757367341,0.238432402
0.040488423,0.366016838
0.380124661,0.916216562
0.689053526,0.687218583
0.925061416,0.338837742
0.80611649,0.462079574
0.348560623,0.241274869
0.416579338,0.178571822
0.765452348,0.974867012
0.080450471,0.321450107
0.63412454,0.871688277
0.90933791,0.434557608
0.107055243,0.175658564
0.970533219,0.287190595
0.97273292,0.865309803
0.687029299,0.724554926
0.263744001,0.350084966
0.004501041,0.314611647
0.017554057,0.012787465
0.729644228,0.31862475
0.722690545,0.996417951
0.568108789,0.811794886
0.31557306,0.722216982
0.515661869,0.180320656
0.384721468,0.626000911
0.126062776,0.706826675
0.004170294,0.756922874
0.904869013,0.327106801
0.919305094,0.404661337
0.469563335,0.491585836
0.112202343,0.891980639
0.477560309,0.719527118
0.663024003,0.567014113
0.33293482,0.557093366
0.16125467,0.02514757
0.780213576,0.843355561
0.68014069,0.768028288
0.125103875,0.499644213
0.767425498,0.83646193
0.212356064,0.31415036
0.60961908,0.474874774
0.521393979,0.735464333
0.291386885,0.445947029
0.859308887,0.407838251
0.303642384,0.819572427
0.012070514,0.381987185
0.847068119,0.050844247
0.258633398,0.390057269
0.714199066,0.889135205
0.216749562,0.622147096
0.08520286,0.306813408
0.38872671,0.75017249
0.692276137,0.245169733
0.617681475,0.584968327
0.789593946,0.791284923
0.310254195,0.617304091
0.528574603,0.878170855
0.598343981,0.59694154
0.644047488,0.263606553
0.733495936,0.85229865
0.179915881,0.351896575
0.580744575,0.673109125
0.51924693,0.498713211
0.697057047,0.517120419
0.495893676,0.945566299
0.040560803,0.642835822
0.06043993,0.336766759
0.46159058,0.619341143
0.237100799,0.17429337
0.033322478,0.330838135
0.516152699,0.497409238
0.818843805,0.059139728
0.4670069,0.598394841
0.611000463,0.415231092
0.003021886,0.101442731
0.403383569,0.101717179
0.549032205,0.046846977
0.621856453,0.90398008
0.869443365,0.955669506
0.973865505,0.95454795
0.280844568,0.893251581
0.600915057,0.890846296
0.415287542,0.593943067
0.032405414,0.756009433
0.764077657,0.36715427
0.329160582,0.597582677
0.692789891,0.463998185
0.881292809,0.428809142
0.048338559,0.189236121
0.838938241,0.955860919
0.939622447,0.966409269
0.261728974,0.070549149
0.469242296,0.170245843
0.914864753,0.069678274
0.418052169,0.762921345
0.536480209,0.986346955
0.202296248,0.044706267
0.914867106,0.582039511
0.291808275,0.997990671
0.71867697,0.348311511
0.014629033,0.762507677
0.445586572,0.512972874
0.00814208,0.677343676
0.104411432,0.694637558
0.153034044,0.029177107
0.433380394,0.15629471
0.763602369,0.208049116
0.206700276,0.510127703
0.970484998,0.637025879
0.915280826,0.864960385
0.997269626,0.752594867
0.276873089,0.701341617
0.972868337,0.104627016
0.485381058,0.704054136
0.689797326,0.142975659
